epoch,loss,val_loss
0,2753.3753889533364,506.42816162109375
1,457.8569065750025,407.2395504222197
2,391.9695724195735,371.79760203642
3,364.4984436035156,350.4876924402574
4,350.41428273194913,348.53095290240117
5,340.8719083943944,329.00508207433364
6,334.35719814422026,340.34122781192553
7,328.23004752967006,320.90779562557447
8,325.52726735886495,318.52611586626836
9,321.69714763665655,327.95798268037686
10,316.160440627177,299.2821565515855
11,314.6545112755648,316.99167408662686
12,311.61422719773213,300.90572043026197
13,308.05282242890377,316.29292387120864
14,305.9995716848191,297.0375581629136
15,302.23632550087706,300.21412927964155
16,300.93185619184163,302.92733046587773
17,299.4641029698074,301.5865541345933
18,295.7908409750386,294.639456356273
19,294.31389360367115,288.1244497860179
20,292.616737608697,291.54322186638325
21,290.77723946540976,289.00550483254824
22,288.17516730241715,283.2525042365579
23,287.74236691225866,282.268237843233
24,285.9664051031611,292.40502750172334
25,285.16192976836186,275.4338217342601
26,282.9006933710378,284.6119348862592
27,280.66203444171106,282.9720719281365
28,283.62107314577526,278.9142797133502
29,277.46881268738184,277.00215866986446
30,278.6155228341461,278.9683622472426
31,277.57363220992363,275.0927734375
32,274.880138129945,271.8085775936351
33,277.80892050190334,273.2894556382123
34,273.3294479467307,271.5805960262523
35,274.2355545918653,273.75062471277573
36,270.92961256671106,272.6157190659467
37,274.9299260036201,269.0588971306296
38,271.94681019388184,271.2787188361673
39,271.9768910013187,272.9765660903033
0,1506.8402047126915,456.88103709501377
1,425.9284053729598,393.4309189740349
2,389.4512609008012,379.42749202952666
0,nan,nan
0,nan,nan
0,nan,nan
0,nan,nan
0,417.52571413334033,288.8646187918527
1,285.3962712311541,273.9170259373529
0,561.27780621241,332.81329520089287
1,333.35423889160154,318.29771292550225
2,314.8699563162667,314.52446812220984
3,307.4975279308501,291.78705008370537
4,291.0964107937283,294.82976597377234
0,1079.2188129727804,392.9209350585937
1,374.0604216076079,352.375583757673
2,345.4369430299789,334.7638654436384
3,331.5859390500992,324.0509242466518
4,322.1065336197142,316.21234218052456
5,314.6907043941437,309.5958530970982
6,308.28902355375743,303.7705095563616
7,302.7551398383247,298.90483921595984
8,297.72842760842946,294.130135672433
9,293.1582010420542,290.15328630719864
10,289.336616491893,286.38715384347097
11,285.7289918929811,282.9275211879185
12,282.5127705407521,280.1114972795759
13,279.6053963313027,277.36668483189175
14,276.9446952214317,275.19049072265625
15,274.9494390094091,273.00596923828124
16,273.2419157482329,271.48383658272877
17,271.4561738998171,270.2446040562221
18,270.14639713347907,268.7943520682199
19,269.0283220563616,267.47388131277904
20,267.82110789465526,266.3815647670201
21,266.8470221625434,265.70296543666296
22,265.789544726175,265.11254534040177
23,265.0499296158079,264.1384844098772
24,264.260256812686,263.3222176688058
25,263.7127151247055,262.6093279157366
26,263.0417700389075,262.28455636160714
27,262.3808512854198,261.8468462262835
28,261.9980445498512,261.6219560895647
29,261.3010691809276,260.84590890066966
30,260.893257116893,260.2864266531808
31,260.4891456725105,259.86312430245533
32,260.10282849508616,259.8807652064732
33,259.9195589095827,259.73810511997766
34,259.81087467254156,259.841650390625
35,259.50591566297743,259.0244576590402
36,259.0419911702474,258.74042053222655
37,259.00201275537887,258.5615474155971
38,258.75177578396267,258.6295523507254
39,258.5635371616909,258.4241991315569
40,258.4122849237351,258.19608895438057
41,258.40979638478115,257.8139840262277
42,258.26890912737167,257.6113551548549
43,258.00652291434153,257.7632062639509
44,258.085205320328,257.5462576729911
45,257.8709845648872,257.40401872907364
46,257.7802458263579,257.2761766706194
47,257.7615721203032,256.90663059779575
48,257.7234639970083,257.01289847237723
49,257.540135023329,257.04417855399
50,213.48618041405078,195.82160346167427
51,192.61671513274092,193.954631628309
52,179.29666683116824,195.41108245849608
53,167.0433141151528,204.8810261317662
